                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.83848,                0.81288,                 1.1999,                0.81011,                0.69496,                0.75856,                0.55793,                 1.0323,                 1.2542,                 1.4565,              0.0011956,              0.0011956,              0.0011956
                     35,                0.80593,                0.77319,                 1.2081,                0.82504,                0.66668,                0.76632,                0.58074,                 1.0485,                 1.4407,                 1.5407,              0.0011885,              0.0011885,              0.0011885
                     36,                0.80542,                0.79258,                 1.1674,                0.69243,                0.67486,                0.69855,                0.54515,                   1.07,                 1.4266,                 1.5421,              0.0011814,              0.0011814,              0.0011814
                     37,                0.86286,                0.85027,                 1.2184,                0.85599,                0.61809,                0.70437,                0.52748,                 1.0762,                  1.319,                 1.4435,              0.0011744,              0.0011744,              0.0011744
                     38,                0.83547,                0.78276,                 1.2004,                 0.7532,                0.58292,                 0.6421,                0.47614,                 1.1697,                 1.8581,                  1.687,              0.0011673,              0.0011673,              0.0011673
                     39,                0.82966,                0.81442,                 1.1872,                0.77068,                0.66194,                0.73241,                0.56669,                0.99342,                 1.2397,                 1.4252,              0.0011602,              0.0011602,              0.0011602
                     40,                0.81967,                0.77049,                 1.1768,                0.75287,                0.67709,                0.70408,                0.55401,                 1.0454,                 1.3331,                 1.4572,              0.0011531,              0.0011531,              0.0011531
                     41,                0.84364,                0.79372,                 1.1707,                0.72464,                0.63168,                0.67629,                0.52337,                 1.1669,                 1.3355,                  1.496,              0.0011461,              0.0011461,              0.0011461
                     42,                0.79923,                0.78337,                 1.1741,                0.75943,                0.62229,                0.73841,                0.56639,                0.94263,                 1.1911,                 1.3781,               0.001139,               0.001139,               0.001139
                     43,                0.78368,                0.77066,                 1.1882,                0.89026,                0.64338,                0.74377,                0.55644,                 1.0628,                 1.3955,                 1.4912,              0.0011319,              0.0011319,              0.0011319
                     44,                0.83928,                0.76125,                 1.1858,                 0.7221,                 0.6901,                0.74262,                0.57658,                0.99066,                 1.3678,                 1.3593,              0.0011248,              0.0011248,              0.0011248
                     45,                 0.7855,                0.72201,                 1.1545,                0.78091,                0.72961,                0.77921,                0.58393,                0.97326,                 1.3595,                 1.4094,              0.0011178,              0.0011178,              0.0011178
                     46,                0.76648,                0.68898,                 1.1303,                0.85931,                 0.6489,                0.78997,                0.59264,                 1.0176,                 1.1761,                 1.4195,              0.0011107,              0.0011107,              0.0011107
                     47,                0.80535,                0.69751,                 1.1549,                0.75655,                0.67264,                0.75139,                0.57191,                 1.0435,                 1.1812,                 1.4862,              0.0011036,              0.0011036,              0.0011036
                     48,                0.77763,                0.68713,                 1.1521,                0.77981,                0.64294,                0.74419,                0.57744,                0.96296,                 1.1494,                 1.4037,              0.0010965,              0.0010965,              0.0010965
                     49,                0.75993,                0.70467,                 1.1448,                0.80313,                0.66688,                0.76989,                0.59139,                0.98795,                 1.1572,                 1.4453,              0.0010895,              0.0010895,              0.0010895
                     50,                0.73785,                0.63063,                 1.1162,                0.78163,                0.76127,                0.80164,                0.58488,                 1.0327,                 1.1022,                 1.4428,              0.0010824,              0.0010824,              0.0010824
                     51,                0.74983,                0.66443,                 1.1406,                0.81525,                 0.7563,                0.79135,                0.61212,                0.97848,                 1.1012,                 1.4314,              0.0010753,              0.0010753,              0.0010753
                     52,                0.76478,                0.67942,                 1.1671,                0.80192,                0.75588,                0.78869,                0.62843,                 0.9014,                  1.066,                 1.3818,              0.0010682,              0.0010682,              0.0010682
