                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1328,                 2.5169,                 1.4203,                 0.6892,                0.41976,                0.55107,                0.38635,                 1.0461,                 2.6104,                 1.4699,             0.00046735,             0.00046735,             0.00046735
                      2,                 1.1376,                 1.8625,                 1.4161,                 0.6781,                 0.4823,                0.55089,                0.37576,                 1.2538,                 2.4298,                 1.7102,             0.00093901,             0.00093901,             0.00093901
                      3,                 1.2282,                 1.8332,                 1.4758,                0.46383,                0.50159,                0.48579,                0.30869,                 1.2686,                 3.8007,                  1.883,               0.001406,               0.001406,               0.001406
                      4,                 1.2958,                 1.7776,                 1.5236,                0.52264,                0.44185,                0.42011,                0.28307,                 1.2538,                 2.7058,                 1.7204,              0.0014078,              0.0014078,              0.0014078
                      5,                 1.2792,                 1.7123,                 1.5209,                0.50824,                0.48823,                0.44505,                0.28616,                 1.4697,                 2.4846,                 1.8546,              0.0014078,              0.0014078,              0.0014078
                      6,                 1.2195,                 1.6104,                 1.5066,                0.63723,                0.66873,                0.67771,                0.43462,                 1.2814,                 1.9219,                 1.7975,              0.0014007,              0.0014007,              0.0014007
                      7,                 1.2042,                 1.4976,                 1.4592,                0.63554,                0.45571,                0.51163,                0.34211,                 1.5637,                 2.5377,                 1.9843,              0.0013936,              0.0013936,              0.0013936
                      8,                 1.2039,                 1.4357,                 1.4557,                0.76843,                0.63924,                0.73121,                0.53751,                 1.1107,                 1.5176,                 1.5379,              0.0013866,              0.0013866,              0.0013866
                      9,                 1.1846,                  1.437,                 1.4454,                0.62264,                0.50509,                0.59157,                0.41964,                 1.2333,                 2.0956,                 1.7208,              0.0013795,              0.0013795,              0.0013795
                     10,                 1.1662,                 1.3662,                 1.4168,                 0.7377,                0.68406,                0.73668,                0.53516,                   1.21,                 1.5179,                 1.5992,              0.0013724,              0.0013724,              0.0013724
                     11,                 1.1496,                 1.3405,                 1.4107,                0.66354,                0.73446,                0.72694,                0.52821,                 1.1467,                 1.4617,                 1.6418,              0.0013653,              0.0013653,              0.0013653
                     12,                 1.1179,                 1.2911,                  1.404,                0.73754,                0.67977,                0.70766,                0.53505,                 1.1684,                 1.4557,                 1.6309,              0.0013583,              0.0013583,              0.0013583
                     13,                 1.1236,                 1.2549,                 1.3994,                0.70475,                0.67021,                0.74119,                0.54726,                 1.1208,                  1.455,                 1.6155,              0.0013512,              0.0013512,              0.0013512
                     14,                 1.0767,                 1.2292,                  1.373,                0.74778,                0.67631,                0.72236,                0.55359,                 1.1564,                   1.33,                 1.5966,              0.0013441,              0.0013441,              0.0013441
                     15,                 1.0964,                 1.1884,                 1.3737,                0.79901,                0.75839,                0.82862,                0.61821,                  1.043,                 1.1234,                 1.4778,               0.001337,               0.001337,               0.001337
                     16,                 1.0476,                  1.159,                 1.3427,                0.68859,                0.69411,                0.71338,                0.54087,                 1.0938,                 1.2627,                 1.4747,                0.00133,                0.00133,                0.00133
                     17,                 1.0834,                 1.1738,                 1.3701,                0.76781,                0.74395,                0.77012,                0.57447,                 1.0666,                 1.2178,                 1.5051,              0.0013229,              0.0013229,              0.0013229
                     18,                 1.0656,                 1.1241,                  1.342,                0.81532,                0.70835,                0.79399,                 0.6219,                  1.025,                 1.1377,                 1.4485,              0.0013158,              0.0013158,              0.0013158
                     19,                 1.0165,                 1.0816,                 1.3391,                0.76993,                 0.7188,                0.77456,                0.58819,                 1.0735,                  1.188,                 1.6007,              0.0013087,              0.0013087,              0.0013087
                     20,                 1.0193,                 1.0843,                 1.3342,                0.82994,                0.72173,                0.81335,                0.60172,                 1.0763,                 1.2118,                  1.498,              0.0013017,              0.0013017,              0.0013017
                     21,                 1.0304,                 1.0937,                 1.3385,                0.83101,                 0.7014,                0.77977,                0.59525,                 1.0369,                 1.2019,                 1.5058,              0.0012946,              0.0012946,              0.0012946
                     22,                 1.0098,                 1.0445,                 1.3109,                0.84205,                0.72655,                0.78955,                0.58251,                 1.0361,                 1.2117,                 1.5326,              0.0012875,              0.0012875,              0.0012875
                     23,                 1.0111,                 1.0616,                 1.3259,                0.83598,                0.69658,                0.78573,                0.57644,                 1.1904,                 1.2177,                 1.5906,              0.0012805,              0.0012805,              0.0012805
                     24,                 1.0253,                 1.0569,                 1.3216,                0.80329,                0.72438,                0.78172,                0.60213,                 1.0501,                 1.1293,                 1.4953,              0.0012734,              0.0012734,              0.0012734
