                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.96908,                 2.7943,                  1.338,                0.00575,                0.89157,                0.44581,                0.34846,                0.83929,                 3.3197,                  1.369,             0.00025722,             0.00025722,             0.00025722
                      1,                0.95991,                 1.9526,                 1.3348,                0.85909,                0.15023,                0.57954,                0.37537,                 1.0746,                 3.0901,                  1.571,             0.00052524,             0.00052524,             0.00052524
                      2,                0.97167,                 1.6302,                 1.2866,                0.53432,                0.61277,                0.58292,                0.40769,                 1.1982,                 2.5137,                 1.8247,             0.00078968,             0.00078968,             0.00078968
                      3,                  1.007,                 1.6085,                  1.335,                0.59662,                0.56451,                0.63159,                0.41639,                 1.1948,                 2.6211,                 1.6863,              0.0010505,              0.0010505,              0.0010505
                      4,                 1.0648,                 1.5682,                 1.3717,                0.58467,                0.58511,                0.60393,                0.38821,                 1.3052,                   2.83,                 1.7191,              0.0013078,              0.0013078,              0.0013078
                      5,                 1.1053,                 1.5909,                  1.399,                0.48388,                0.50538,                0.46344,                0.28833,                 1.5432,                 3.0253,                 2.2294,              0.0013818,              0.0013818,              0.0013818
                      6,                 1.0875,                 1.5056,                 1.3703,                0.54164,                0.55199,                0.51737,                0.34568,                 1.2905,                 2.5297,                 1.9659,              0.0013818,              0.0013818,              0.0013818
                      7,                 1.0676,                 1.4896,                 1.3572,                0.60678,                0.48073,                0.55043,                0.36885,                 1.3409,                 2.4664,                 1.8916,              0.0013724,              0.0013724,              0.0013724
                      8,                 1.0909,                 1.5081,                 1.3863,                0.60491,                0.50046,                0.52793,                0.35781,                 1.4478,                 2.4197,                 1.8479,               0.001363,               0.001363,               0.001363
                      9,                 1.0227,                 1.3994,                 1.3628,                0.75956,                0.55325,                 0.5833,                0.41444,                 1.3629,                   2.53,                 1.8443,              0.0013535,              0.0013535,              0.0013535
                     10,                 1.0682,                 1.3411,                 1.3436,                0.69333,                0.53079,                0.57922,                  0.385,                  1.592,                  2.488,                 1.9727,              0.0013441,              0.0013441,              0.0013441
                     11,                0.93841,                 1.2201,                  1.266,                0.73582,                0.55434,                0.62432,                0.42947,                 1.3659,                 2.1537,                 1.9008,              0.0013347,              0.0013347,              0.0013347
                     12,                  1.019,                 1.2669,                 1.3381,                0.64968,                0.58854,                0.61596,                0.43404,                 1.3175,                 1.9935,                 1.7549,              0.0013253,              0.0013253,              0.0013253
                     13,                 1.0697,                 1.2672,                 1.3437,                0.66708,                0.67015,                0.68689,                0.44461,                 1.3237,                 1.8575,                 1.7495,              0.0013158,              0.0013158,              0.0013158
                     14,                0.98433,                 1.1686,                 1.2989,                0.68346,                0.64042,                 0.6904,                0.48594,                 1.1744,                  1.734,                  1.576,              0.0013064,              0.0013064,              0.0013064
                     15,                0.95063,                 1.1336,                 1.2839,                0.73325,                0.56874,                0.65499,                0.43053,                 1.2412,                 1.8756,                 1.6561,               0.001297,               0.001297,               0.001297
                     16,                0.97046,                 1.1303,                 1.2866,                0.60004,                0.65421,                 0.5975,                0.43403,                  1.218,                 2.0073,                 1.7757,              0.0012875,              0.0012875,              0.0012875
                     17,                0.95251,                 1.1782,                 1.3057,                0.67961,                0.64067,                0.69472,                 0.4973,                 1.1732,                  1.782,                 1.5817,              0.0012781,              0.0012781,              0.0012781
                     18,                 0.8934,                 1.0617,                 1.2529,                 0.7099,                0.62264,                0.67771,                0.49334,                 1.1382,                 1.7452,                 1.6087,              0.0012687,              0.0012687,              0.0012687
                     19,                0.96856,                 1.1018,                  1.295,                 0.7908,                0.67382,                0.73237,                0.53887,                 1.1317,                 1.5489,                 1.5747,              0.0012592,              0.0012592,              0.0012592
                     20,                0.89721,                 1.0429,                 1.2542,                0.73551,                0.64289,                0.71688,                0.54291,                 1.0786,                 1.6663,                 1.4832,              0.0012498,              0.0012498,              0.0012498
                     21,                0.87121,                0.99227,                 1.2364,                0.78038,                0.68789,                0.75558,                0.55661,                 1.1361,                 1.3335,                 1.5501,              0.0012404,              0.0012404,              0.0012404
